,Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Vosk ASR
5390,5683,Dont you talk to my husband like that you stupid bastard!,Evil Bitch,anger,negative,572,20,8,23,"00:10:18,439","00:10:21,859",don't you talk to my husband like that you stupid bastard
5391,5684,Pat Sajak?,Phoebe,neutral,neutral,573,0,6,17,"0:15:41,148","0:15:41,816",face
5392,5685,Yep!,Rachel,joy,positive,573,1,6,17,"0:15:41,816","0:15:43,331",yeah
5393,5686,Alex Trebek?,Phoebe,neutral,neutral,573,2,6,17,"0:15:43,442","0:15:44,443",alex back
5394,5687,"Oh, of course!",Rachel,joy,positive,573,3,6,17,"0:15:44,443","0:15:45,372",ah of
5395,5688,Chuck Woolery?,Phoebe,neutral,neutral,573,4,6,17,"00:15:45,486","00:15:47,195",check will or a thief
5396,5689,"Definitely! Phoebe, you will not find a single game show host, whos ass I cannot kick.",Rachel,joy,positive,573,5,6,17,"00:15:47,363","00:16:02,377",phoebe you will not find a single game show host whose ass i cannot kick someabout itwow
5397,5690,Say it!,Rachel,joy,positive,573,6,6,17,"0:16:02,628","0:16:03,880",santa
5398,5691,Say we are unagi!,Phoebe,joy,positive,573,7,6,17,"0:16:03,880","0:16:05,104",the
5399,5692,Its not something you are! Its something you have!,Ross,anger,negative,573,8,6,17,"00:16:06,632","00:16:09,717",you are to add
5400,5693,Say it!,Rachel,joy,positive,573,9,6,17,"00:16:10,761","00:16:11,803",say
5401,5694,"Yknow what? I can easily get out of this, but there is a chance you can get very, very hurt!",Ross,anger,negative,573,10,6,17,"00:16:11,971","00:16:17,767",i usually go out and as but there's a chance you can get very very hard
5402,5695,"Hey, Rach, can I borrow your eyelash curler, I think I lost mine.",Monica,neutral,neutral,574,0,5,5,"00:19:52,649","00:19:55,234",he raped or your eyelash curler ethical
5403,5696,"Yeah, it's in there.",Rachel,neutral,neutral,574,1,5,5,"00:19:55,402","00:19:57,361",yeah
5404,5697,Oh! Ohh! Oh!!,Joey,surprise,negative,574,2,5,5,"00:20:02,201","00:20:03,951",
5405,5698,"Joey, can I talk to you for a second?",Chandler,neutral,neutral,574,3,5,5,"00:20:04,161","00:20:06,120",
5406,5699,Oohh!! Ohh! Oh-oh-oh! Oh-oh!!,Joey,surprise,negative,574,4,5,5,"00:20:09,082","00:20:11,000",
5407,5700,oooooooooooooohhhhhhhhhhh,Joey,surprise,negative,574,5,5,5,"00:20:12,920","00:20:18,424",the
5408,5701,Yes. Yes.,Chandler,neutral,neutral,574,6,5,5,"00:20:19,468","00:20:23,221",yeahyes
5409,5702,You?!  And-and you?!,Joey,surprise,negative,574,7,5,5,"00:20:24,014","00:20:27,183",youthank you
5410,5703,"Yes, but you cannot tell anyone! No one knows!",Monica,joy,positive,574,8,5,5,"00:20:27,893","00:20:30,353",yes but you can actually when no one knows
5411,5704,How?! When?!,Joey,surprise,negative,574,9,5,5,"00:20:30,520","00:20:32,355",how when
5412,5705,It happened in London.,Chandler,neutral,neutral,574,10,5,5,"0:20:32,856","0:20:33,941",happen in london
5413,5706,IN LONDON!!!,Joey,surprise,negative,574,11,5,5,"0:20:33,941","0:20:35,292",
5414,5707,The reason we didn't tell anyone was because we didn't want to make a big deal out of it.,Chandler,neutral,neutral,574,12,5,5,"00:20:37,861","00:20:41,697",recently and didn't tell anyone was because we didn't want to make a big deal out of
5415,5708,But it is a big deal!! I have to tell someone!,Joey,surprise,negative,574,13,5,5,"00:20:41,865","00:20:45,576",but it is a big dealat the tells
5416,5709,No-no-no-no-no! You can't!,Chandler,fear,negative,574,14,5,5,"00:20:45,744","00:20:48,287",
5417,5710,"Please? Please?! We just don't want to deal with telling everyone, okay? Just promise you won't tell.",Monica,fear,negative,574,15,5,5,"00:20:48,497","00:20:54,126",please please we just don't want people telling everyone okayjust promise you won't tell
5418,5711,"All right! Man, this is unbelievable! I mean, it's",Joey,surprise,negative,574,16,5,5,"00:20:57,714","00:21:06,514",rightand this is unbelievablei mean of it's greatbut
5419,5712,"I know, it's great!",Monica,joy,positive,574,17,5,5,"00:21:03,512","00:21:06,514",the main of it's gradesbut
5420,5713,"Aww, I don't want to see that!",Joey,disgust,negative,574,18,5,5,"00:21:10,227","00:21:12,937",ah don't want to see that
5421,5714,We're so stupid! Do you know what's going on in there? They're trying to take Joey!,Phoebe,sadness,negative,574,19,5,5,"00:21:15,691","00:21:21,696",we're so stupiddo you know what's going on in thereget china to take jones
5422,5715,"And my second grade teacher was Ms. Thomas, and my first grade teacher was Mrs. Cobb.",Julie,neutral,neutral,575,0,2,4,"00:18:26,355","00:18:28,981",and my first grade teacher was mrs cox
5423,5716,"Mrs., Mrs. Gobb?",Rachel,neutral,neutral,575,1,2,4,"00:18:29,817","00:18:31,317",mrs business this guy
5424,5717,"No Cobb, as in cobb salad.",Julie,neutral,neutral,575,2,2,4,"00:18:31,610","00:18:33,402",cobb like cobb salad
5425,5718,"Now, what exactly is in a cobb salad?",Rachel,neutral,neutral,575,3,2,4,"00:18:36,156","00:18:39,450",nowwhat exactly is in a calm fell
5426,5720,What're we gonna do? What're we gonna do?,Chandler,fear,negative,576,0,2,6,"00:15:55,371","00:15:57,747",would you do what do we going to do
5427,5721,"Uh, uh, we'll flip for it. Ducks or clowns.",Joey,neutral,neutral,576,1,2,6,"00:15:58,666","00:16:00,833",we'll flip fort doctor clowns
5428,5722,"Oh, we're gonna flip for the baby?",Chandler,surprise,negative,576,2,2,6,"0:16:01,001","0:16:02,393",oh your foot for the baby
5429,5723,You got a better idea?,Joey,neutral,neutral,576,3,2,6,"0:16:02,393","0:16:03,178",the get a better idea
5430,5724,"All right, call it in the air.",Chandler,neutral,neutral,576,4,2,6,"00:16:03,295","00:16:05,046",claudia remember
5431,5725,Heads.,Joey,neutral,neutral,576,5,2,6,"00:16:06,507","00:16:07,840",pets
5432,5726,Heads it is.,Chandler,neutral,neutral,576,6,2,6,"00:16:06,507","00:16:09,384",petsheh judas guess
5433,5727,Yes! Whew!,Joey,joy,positive,576,7,2,6,"00:16:09,551","00:16:10,802",
5434,5728,We have to assign heads to something.,Chandler,neutral,neutral,576,8,2,6,"00:16:12,221","00:16:14,222",we have to assign heads to something
5435,5729,"Right. Ok, ok, uh, ducks is heads, because ducks have heads.",Joey,neutral,neutral,576,9,2,6,"00:16:15,933","00:16:23,815",okay okaydoctors heads because ducks have heads
5436,5730,What kind of scary-ass clowns came to your birthday?,Chandler,anger,negative,576,10,2,6,"00:16:28,570","00:16:31,280",kind of scary ass clowns can be your birthday
5437,5731,"Okay, some tricks of the trade.",Joey,neutral,neutral,577,0,3,7,"00:12:21,907","00:12:24,325",okay some tricks of the trade
5438,5732,"Now, Ive never been able to cry as an actor, so if Im in a scene where I have to cry, I cut a hole in my pocket, take a pair of tweezers, and just start pulling.",Joey,neutral,neutral,577,1,3,7,"00:12:24,493","00:12:36,337",i've never been able to cry as an actor so if i'm in a scene where i have to cry i cut a hole in my pockettake a pair of tweezersand just start poland
5439,5733,"Or ah, or, lets say I wanna convey that Ive just done something evil.",Joey,neutral,neutral,577,2,3,7,"00:12:38,758","00:12:45,096",or or let's say i want to convey that i've just done something evil
5440,5734,"That would be the basic I have a fishhook in my eyebrow and I like it  Okay, lets say Ive just gotten bad news, well all I do there is try and divide 232 by 13.",Joey,neutral,neutral,577,3,3,7,"00:12:45,264","00:13:02,363",that would be your basic i've got a fish hook in my eyebrow and i likeokaylet's say have just gotten bad news but all i do there is trying divide two hundred and thirty two by thirteen
5441,5735,And thats how its done.,Joey,neutral,neutral,577,4,3,7,"00:13:11,332","00:13:12,791",and that's how it's done
5442,5736,"Great soap opera acting tonight everybody, class dismissed.",Joey,joy,positive,577,5,3,7,"00:13:12,958","00:13:17,253",great soap opera acting tonight every money class dismissed
5443,5737,"Hey, Mr. Trib.",Student,neutral,neutral,577,6,3,7,"0:13:19,298","0:13:20,466",hey mr trip
5444,5738,Hey-hey.,Joey,joy,positive,577,7,3,7,"0:13:20,466","0:13:21,033",hey
5445,5739,Then Im gonna have to ask you to keep it down.,Phoebe,neutral,neutral,578,0,3,6,"00:10:07,356","00:10:10,317",i'm going to have to ask you to keep it down
5446,5740,Who are you?,Mr. Heckles,surprise,negative,578,1,3,6,"00:10:15,573","00:10:16,615",for you
5447,5741,"Hi, Im Eric, Im gonna be Chandlers new roommate.",Eric,neutral,neutral,578,2,3,6,"0:10:17,074","0:10:19,327",hi i'm eric i'm going to be jammers new roommate
5448,5742,Im Chandlers new roommate.,Mr. Heckles,surprise,positive,578,3,3,6,"0:10:19,327","0:10:20,681",chandler's new roommate
5449,5743,I-I-I dont think so.,Eric,surprise,negative,578,4,3,6,"0:10:22,705","0:10:23,665",i don't think so
5450,5744,I could be Chandlers new roommate.,Mr. Heckles,surprise,positive,578,5,3,6,"0:10:23,665","0:10:25,551",i can be chained was no roommate
5451,5745,"But, he told me over the phone.",Eric,surprise,negative,578,6,3,6,"0:10:26,250","0:10:27,602",that he told me over the phone
5452,5746,He told me in person.,Mr. Heckles,neutral,neutral,578,7,3,6,"0:10:27,602","0:10:29,174",called me in person
5453,5747,Thats weird.,Eric,surprise,negative,578,8,3,6,"00:10:30,379","00:10:31,421",year
5454,5748,"Well, Im going to go into my new apartment now.  Ehh!",Mr. Heckles,joy,positive,578,9,3,6,"00:10:31,714","00:10:46,728",i'm going to going to my new apartment nowyou
5455,5749,Hey! Look who I found!,Phoebe,surprise,positive,579,0,3,10,"00:16:39,373","00:16:40,540",
5456,5750,"Oh, hey guys!",Chandler,joy,positive,579,1,3,10,"00:16:40,791","00:16:42,208",many yousef
5457,5751,"Yknow, birds have a very good sense of direction, and I thought maybe they could help us find where the presents are hidden.",Phoebe,neutral,neutral,580,0,6,10,"00:16:42,918","00:16:48,464",the parents have a very good sense of direction have that maybe they could help us find where the presence or him
5458,5752,"Yes, if the presents are hidden south for the winter.",Chandler,neutral,neutral,580,1,6,10,"00:16:49,550","00:16:53,052",massive the presidents are hidden south for the winter
5459,5753,Or we could just follow your clever jokes  any ideas?,Phoebe,neutral,neutral,581,0,6,19,"00:16:53,512","00:16:57,724",no one why put us on the until tomorrow you can do right nowl
5460,5755,Didnt think so!,Phoebe,neutral,neutral,582,0,6,18,"00:16:53,512","00:16:57,724",
5461,5756,"Okay, cmon guys, show us where the presents are!",Phoebe,neutral,neutral,583,0,6,10,"00:16:59,476","00:17:01,978",those were the
5462,5757,"Oh, the duck seems to think that Monica got me garbage! Hmm, I wonder what I could get Monica thats as good as garbage?",Chandler,anger,negative,583,1,6,10,"00:17:02,229","00:17:09,235",that seems to think the monica got me garbagei wonder what i can get monica that's as good as garbage
5463,5758,"Hmm, how about my azzz?",Phoebe,neutral,neutral,583,2,6,10,"00:17:09,403","00:17:11,696",how am i as
5464,5759,"Hey, this is hollow.",Rachel,neutral,neutral,583,3,6,10,"0:17:16,368","0:17:19,140",this is hollow
5465,5760,What?,Phoebe,surprise,negative,583,4,6,10,"0:17:19,140","0:17:20,124",but
5466,5761,"This bench, its hollow! I cant believe I never knew that!  Oh, the presents!!!",Rachel,surprise,negative,583,5,6,10,"00:17:20,330","00:17:29,047",i get that
5467,5762,"No, dont look directly at them!",Phoebe,fear,negative,583,6,6,10,"00:17:25,878","00:17:29,047",
5468,5763,What?,Chandler,surprise,negative,583,7,6,10,"00:17:31,050","00:17:32,091",what
5469,5764,"Alright, no, we could look at them!",Phoebe,neutral,neutral,583,8,6,10,"00:17:32,342","00:17:34,761",we've had look at them
5470,5765,I,Monica,neutral,neutral,583,9,6,10,"00:17:47,316","00:17:50,610",i don't want and that would monica god me you know i mean look
5471,5766,"Hi! Im so glad youre here, but its gonna be a while. I-I wished youd called first.",Ross,joy,positive,584,0,8,23,"00:06:45,434","00:06:51,065",oh and i'm so glad you're here but it's gonna be a while which called for
5472,5767,"Oh thats all right, Im coming back later with your father.",Mrs. Geller,neutral,neutral,584,1,8,23,"0:06:51,274","0:06:53,694",well that's all right i'm cutting that later with the father
5473,5768,Oh good.,Ross,joy,positive,584,2,8,23,"0:06:53,694","0:06:53,982",
5474,5769,I actually needed to talk to you before the birth.,Mrs. Geller,neutral,neutral,584,3,8,23,"0:06:54,068","0:06:57,080",i actually needed to talk to you before the birth
5475,5770,"Okay, whats up?",Ross,neutral,neutral,584,4,8,23,"0:06:57,080","0:06:58,293",okay what's up
5476,5771,"I brought something that I want to give you, assuming of course that you want it.",Mrs. Geller,neutral,neutral,584,5,8,23,"00:06:58,406","00:07:04,787",i thought something that i want to give you assuming of course the to want it
5477,5772,"Ma, youre asking me to marry you?",Ross,surprise,negative,584,6,8,23,"00:07:05,454","00:07:08,624",my you asking me to marry you
5478,5773,"This is your grandmothers engagement ring, I want you to give it to Rachel.",Mrs. Geller,joy,positive,584,7,8,23,"00:07:09,750","00:07:14,130",this is your grandmother's engagement ring i want you to give it to rage
5479,5774,"Mom no, come on! Thank you.",Ross,surprise,positive,584,8,8,23,"0:07:14,380","0:07:16,972",mom know c'mon thank you
5480,5775,Just hear me out!,Mrs. Geller,fear,negative,584,9,8,23,"0:07:16,972","0:07:17,902",just hear me
5481,5776,"Maybe this wouldve happened if Id been more nurturing, or Id paid more attention, or I... had a uterus.",Ross,sadness,negative,585,0,3,6,"00:19:42,222","00:19:47,852",the paid more attentioni had a universe
5482,5777,I cant believe this!,Ross,sadness,negative,585,1,3,6,"00:19:49,771","00:19:51,564",
5483,5778,"I know no, no, y'know you dont deserve this, you dont Ross.",Phoebe,sadness,negative,585,2,3,6,"00:19:51,773","00:19:55,109",you know you don't deserve this you don't receive your really
5484,5779,"Youre, youre really, youre so good.",Phoebe,sadness,negative,585,3,3,6,"0:19:55,402","0:19:56,364",so good
5485,5780,Thanks.,Ross,sadness,negative,585,4,3,6,"0:19:56,364","0:19:57,174",
5486,5781,And youre so sweet.  And youre kind,Phoebe,neutral,neutral,585,5,3,6,"00:19:57,362","00:19:59,071",sweet
5487,5782,Thanks.,Ross,sadness,negative,585,6,3,6,"00:19:59,281","00:20:01,782",the kind
5488,5783,"Wait, wait, wait, wait, wait.",Ross,surprise,positive,585,7,3,6,"00:20:17,382","00:20:18,966",the way we we will leave
5489,5785,"Okay, its okay.",Phoebe,neutral,neutral,585,8,3,6,"00:20:23,889","00:20:25,889",
5490,5787,"Wait, wait, wait.",Ross,joy,positive,585,9,3,6,"00:20:17,382","00:20:18,966",the way we we will leave
5491,5789,My foot is stuck in the pocket.,Ross,sadness,negative,585,10,3,6,"00:20:31,647","00:20:34,851",my foot is stuck in the pocket
5492,5790,What?,Phoebe,surprise,negative,585,11,3,6,"0:20:36,401","0:20:37,861",i didn't
5493,5791,"No, I cant get it out.",Ross,sadness,negative,585,12,3,6,"0:20:37,861","0:20:38,223",
5494,5792,Rachel?,Mark,neutral,neutral,586,0,6,6,"00:20:56,171","00:20:57,213",
5495,5793,Yeah.  Hi Mark!,Rachel,surprise,positive,587,0,3,11,"00:20:57,381","00:20:58,631",okay
5496,5794,"Hi. I just talked to Joanna, and she loves you. You got it, you got the job.",Mark,joy,positive,587,1,3,11,"00:20:58,799","00:21:02,134",i just talked to join and she loves you you gotta you got the job
5497,5795,"Oh, I did!",Rachel,surprise,positive,587,2,3,11,"00:21:02,302","00:21:03,678",
5498,5796,Yes.,Mark,joy,positive,587,3,3,11,"00:21:03,845","00:21:04,929",that's
5499,5797,Oh my God!!,Rachel,surprise,positive,587,4,3,11,"00:21:05,097","00:21:06,305",
5500,5798,Congratulations...oh..wow,Joey,joy,positive,587,5,3,11,"00:21:06,473","00:21:09,016",roger
5501,5799,I cant believe I did this! What an idiot!,Chandler,anger,negative,588,0,6,20,"0:13:49,787","0:13:52,290",i can't believe i did this what an idiot
5502,5800,"Oh, stop beating yourself up!",Monica,sadness,negative,588,1,6,20,"0:13:52,290","0:13:53,970",stop beating yourself up
5503,5801,People make mistakes!,Monica,neutral,neutral,588,2,6,20,"0:13:54,083","0:13:55,595",people make mistakes
5504,5802,These things happen!,Monica,neutral,neutral,588,3,6,20,"0:13:55,595","0:13:56,815",these things happen
5505,5803,There arent any message youve forgotten to give me are there?,Monica,neutral,neutral,588,4,6,20,"00:13:58,379","00:14:02,048",there aren't you messages the forgotten to give me your there
5506,5804,Apparently youre not very good at it!,Monica,anger,negative,588,5,6,20,"00:14:02,424","00:14:04,926",apparently you're not very good at it as
5507,5805,I,Monica,neutral,neutral,588,6,6,20,"00:14:11,809","00:14:14,602",only i kind of have already
5508,5806,Philadelphia.,Earl,neutral,neutral,589,0,7,13,"00:19:03,058","00:19:05,726",philadelphia mike
5509,5807,"Oh my God! So was she! Oh, Ive got-Ive got goose bumps.",Phoebe,surprise,positive,589,1,7,13,"00:19:03,058","00:19:09,438",philadelphia mikei've got i've got goose i've got goosebumps
5510,5808,Really?,Earl,surprise,positive,589,2,7,13,"00:19:09,773","00:19:10,857",
5511,5809,"Well, yknow Im wearing layers and its warm.",Phoebe,neutral,neutral,589,3,7,13,"0:19:11,024","0:19:12,656",you know i'm wearing layers and it's warm
5512,5810,Yeah.,Joey,joy,positive,589,4,7,13,"0:19:12,656","0:19:13,713",there
5513,5811,"But ifno look, okay. These jerks might not care about you, but the universe does! And that says a lot!",Phoebe,sadness,negative,589,5,7,13,"00:19:13,819","00:19:21,200",okay these jerks might not care about you but the universe does and that says a lot
5514,5812,Did you hear that?!,Earl,neutral,neutral,589,6,7,13,"00:19:23,245","00:19:24,996",the you hear that
5515,5813,I dont need you guys to care about me!,Earl,anger,negative,589,7,7,13,"00:19:25,414","00:19:27,874",i need you guys to care about me
5516,5814,Because the universe cares!,Earl,joy,positive,589,8,7,13,"0:19:28,041","0:19:29,960",because the universe cares
5517,5815,The whole universe!,Earl,joy,positive,589,9,7,13,"0:19:29,960","0:19:30,396",
5518,5816,I really wished theyd care just a little bit though.,Earl,sadness,negative,589,10,7,13,"00:19:38,135","00:19:40,553",i really wish they'd care just a little bit
5519,5823,"I like this one.  It seems to say, ""I love you and thats why I have to kill you.""",Ross,joy,positive,590,0,7,5,"00:07:50,428","00:07:55,515",like this one it seems to say i love you and that's why i have to kill you
5520,5824,"They cant all be bad.  Find the one where you make your bedroom eyes. Ohh, there it is.",Monica,joy,positive,590,1,7,5,"00:07:58,019","00:08:04,357",the can't all be badand find the one where you make your bedroom eyesof there it is
5521,5825,Oh my God! Those are my bedroom eyes?! Why did you ever sleep with me?,Chandler,surprise,negative,590,2,7,5,"00:08:04,525","00:08:10,906",oh my god those are my bedroom eyeswhy did you ever sleep with me
5522,5826,Do you really want to pull at that thread?,Monica,surprise,negative,590,3,7,5,"00:08:12,033","00:08:14,659",do you really want to pull it that thread
5523,5827,Im having a really good time!,Phoebe,joy,positive,590,4,7,5,"00:08:19,290","00:08:21,374",a really good too
5524,5828,Me too! Im sorry that guy in the subway licked your neck.,Kyle,sadness,negative,590,5,7,5,"00:08:21,542","00:08:28,173",sorry that guy the subway licked your necknow that's okay he's a friend
5525,5829,"Ohh. No thats okay, hes a friend.",Phoebe,neutral,neutral,590,6,7,5,"00:08:25,838","00:08:28,173",that's okay he's a friend
5526,5830,"Hey uh, I dont mean to be presumptuous but I have these two tickets to the ballroom dancing finals tomorrow night if you want to go?",Kyle,fear,negative,590,7,7,5,"00:08:28,633","00:08:33,803",i don't mean to be presumptuous but i have these two tickets to the ballroom dancing final smart idea
5527,5831,"Yeah, I Well yknow I-I mean I missed the-the semi-finals, so Id just be lost.",Phoebe,sadness,negative,590,8,7,5,"00:08:34,305","00:08:40,143",yeah i was you know i mean i miss the semi finals so i think i would just be loss
5528,5832,"I know its really lame, but I got these tickets from my boss andOh no! No! No! My God!",Kyle,surprise,positive,590,9,7,5,"00:08:40,311","00:08:44,356",i know that it's really lame but i got these tickets from my boss and
5529,5833,"Okay, dont freak out. Ill go.",Phoebe,neutral,neutral,590,10,7,5,"00:08:47,401","00:08:50,028",okay don't freak out i'll go nuts
5530,5834,"No its Uh, my ex-wife Whitney is out there. I cannot deal with her right now. That woman is crazy!",Kyle,anger,negative,590,11,7,5,"00:08:50,196","00:08:56,743",my ex wife when he's out there i cannot deal with the right now that woman is crazy okay i know hold on
5531,5835,"Okay, I know. Hold on.  Hey Ross?",Phoebe,neutral,neutral,590,12,7,5,"00:08:55,117","00:08:59,162",the i know hold onhey ross
5532,5836,Yeah?,Ross,neutral,neutral,590,13,7,5,"00:08:57,828","00:08:59,162",hey ross
5533,5837,"Yeah, umm thats Whitney , Kyles ex-wife out there, now do you think that you can yknow divert her so that we can slip out?",Phoebe,neutral,neutral,590,14,7,5,"00:08:59,330","00:09:09,130",yeahthat's whitney kyle's ex wife out there don't you think you could do you know divert her so we can slip out what low
5534,5838,What?! No!,Ross,surprise,negative,590,15,7,5,"00:09:07,046","00:09:09,130",what know
5535,5839,Well okay but I have two tickets to the ballroom dance finals.,Phoebe,neutral,neutral,590,16,7,5,"00:09:10,216","00:09:14,344",okay but i have two tickets to the ballroom dance finals
5536,5840,"Look, I dont think so Pheebs.  All right, Ill do it. But just because youre a friend.",Ross,neutral,neutral,590,17,7,5,"00:09:14,512","00:09:26,147",i don't think so thievesall right i'll do it nowbut just because your friends
5537,5841,"Well, I-I-I'm done with this. You want anything Ross? Sports? International? Apartment listings?",Chandler,neutral,neutral,591,0,5,7,"00:12:00,302","00:12:05,223",well i'm i'm done with this you anything ross sports international apartment listings
5538,5842,I'll take sports.,Ross,neutral,neutral,591,1,5,7,"00:12:05,975","00:12:07,058",how to export
5539,5843,Mine!,Joey,neutral,neutral,591,2,5,7,"00:12:07,268","00:12:08,601",the
5540,5844,"All right. Uhh, international.",Ross,neutral,neutral,591,3,5,7,"00:12:10,312","00:12:11,896",right internet
5541,5845,"Okay, look, I-I know what you guys are going to say",Ross,neutral,neutral,592,0,5,12,"00:11:10,503","00:11:13,004",look i know you guys are going to say
5542,5846,You two will have very hairy children.,Phoebe,disgust,negative,592,1,5,12,"00:11:13,214","00:11:15,840",you would have very hairy children
5543,5847,"Okay, I didn't know you would say that.",Ross,surprise,negative,592,2,5,12,"00:11:17,593","00:11:19,427",the didn't know you would say that
5544,5848,Ross! Janice?!,Rachel,anger,negative,592,3,5,12,"00:11:20,513","00:11:22,472",those genius
5545,5849,"All right, hold on!",Joey,neutral,neutral,592,4,5,12,"0:11:22,682","0:11:23,308",hold on
5546,5850,Hold on.,Joey,neutral,neutral,592,5,5,12,"0:11:23,308","0:11:23,809",hold on
5547,5851,Hold on.,Joey,neutral,neutral,592,6,5,12,"0:11:23,809","0:11:24,715",hello
5548,5852,"This is Ross, okay?",Joey,neutral,neutral,592,7,5,12,"00:11:24,850","00:11:26,643",this is ross okay
5549,5853,He's our friend.,Joey,neutral,neutral,592,8,5,12,"0:11:26,852","0:11:27,564",friend
5550,5854,He obviously went crazy.,Joey,anger,negative,592,9,5,12,"0:11:27,564","0:11:30,074",he obviously went crazy
5551,5855,He obviously lost his mind.,Joey,anger,negative,592,10,5,12,"00:11:30,231","00:11:32,232",obviously lost his mind
5552,5857,So are you actually gonna see her again?,Phoebe,neutral,neutral,592,11,5,12,"00:11:41,325","00:11:43,243",you actually going to see her again
5553,5858,Phoebe! Don't put ideas in his head!,Joey,anger,negative,592,12,5,12,"00:11:43,452","00:11:46,246",what ideas in his head i am going to see her
5554,5860,Damnit Phoebe!!,Joey,anger,negative,592,13,5,12,"00:11:46,455","00:11:48,498",them at phoebe
5555,5861,"Hey, dont we have to...",Ross,neutral,neutral,593,0,3,13,"0:17:37,890","0:17:39,726",they've don't have to yeah we got
5556,5862,"Yeah, we got, um-hmm.",Chandler,neutral,neutral,593,1,3,13,"0:17:39,726","0:17:41,735",yeah
5557,5863,"Umm, I think youre really, really great...",Phoebe,joy,positive,593,2,3,13,"00:17:48,233","00:17:49,984",i think you're really really
5558,5864,Oh God!,Robert,sadness,negative,593,3,3,13,"0:17:50,152","0:17:51,534",god
5559,5865,Here we go again.,Robert,sadness,negative,593,4,3,13,"0:17:51,534","0:17:53,545",here we go again
5560,5866,Why does this keep happening to me?,Robert,anger,negative,593,5,3,13,"0:17:53,655","0:17:55,617",what does this keep happening to me
5561,5867,Is it something Im putting out there?,Robert,sadness,negative,593,6,3,13,"0:17:55,617","0:17:58,264",is it something i'm putting out there
5562,5868,Is this my fault?,Robert,sadness,negative,593,7,3,13,"0:18:00,412","0:18:01,497",this is my fault
5563,5869,Or am I just nuts?,Robert,sadness,negative,593,8,3,13,"0:18:01,497","0:18:04,149",or am i just nuts
5564,5870,"I-I-I-I-I dont know, I dont know what to say.",Phoebe,surprise,negative,593,9,3,13,"00:18:07,169","00:18:10,880",i don't know i don't know what to say
5565,5871,"Hey buddy, this is a family place, put the mouse back in the house.",Gunther,disgust,negative,593,10,3,13,"00:18:11,048","00:18:15,802",hey buddythis is a family place but the mouse back in the house
5566,5872,Wait!,Joey,sadness,negative,594,0,7,4,"0:18:41,662","0:18:42,747",equally
5567,5873,Terry!,Joey,sadness,negative,594,1,7,4,"0:18:42,747","0:18:43,248",
5568,5874,Please!,Joey,sadness,negative,594,2,7,4,"0:18:43,248","0:18:43,599",
5569,5875,"Look, I just lost my other job.",Joey,sadness,negative,594,3,7,4,"0:18:44,414","0:18:46,500",look i just lost my other
5570,5876,Okay?,Joey,neutral,neutral,594,4,7,4,"0:18:46,500","0:18:46,766",
5571,5877,You have no idea how much I need this.,Joey,sadness,negative,594,5,7,4,"00:18:46,959","00:18:50,128",you have no idea how much i need tests
5572,5878,"Please, help me out, for old times sake.",Joey,sadness,negative,594,6,7,4,"00:18:50,379","00:18:54,173",please help me out for old time's sake
5573,5879,This poor guys been in a coma for five years. Its hopeless.,Nurse #1,sadness,negative,594,7,7,4,"00:18:55,467","00:18:58,803",this poor guy's been in a coma for five years it's helped
5574,5880,"Its not hopeless! Dr. Stryker Ramorays a miracle worker. Look, here he comes.",Nurse #2,joy,positive,594,8,7,4,"00:18:59,054","00:19:03,349",it's not hopeless doctor striker more a miracle worker look here he comes
5575,5881,"Good morning.  Drake, its your brother Stryker. Can you hear me?",Dr. Stryker Ramoray,neutral,neutral,594,9,7,4,"00:19:04,268","00:19:16,487",the morningdrake it's to brother strikercan you hear me
5576,5882,Im back baby! Ha-ha-ha!,Joey,joy,positive,594,10,7,4,"00:19:20,742","00:19:22,118",the back baby
5577,5883,That kid really kicked me hard on the plane.,Monica,anger,negative,595,0,6,1,"00:13:59,171","00:14:01,089",they can't kick me really hard on them
5578,5884,Well you did pull his hair.,Chandler,neutral,neutral,595,1,6,1,"00:14:01,298","00:14:03,299",well you didn't pull his hair
5579,5885,He took my snack!,Monica,anger,negative,595,2,6,1,"0:14:03,926","0:14:04,898",he took my snow
5580,5886,Im not getting into this again!,Chandler,anger,negative,595,3,6,1,"0:14:04,898","0:14:06,892",not getting into this disagreement
5581,5887,"Okay! Oh God, yknow what? Its really bad.",Monica,sadness,negative,595,4,6,1,"00:14:07,054","00:14:09,539",no likereally
5582,5888,"Well, I told you not to walk. Here.  There. Okay.",Chandler,anger,negative,595,5,6,1,"00:14:09,849","00:14:13,560",i told you not watch hereair their function
5583,5889,"This doesnt mean anything, does it?",Monica,fear,negative,595,6,6,1,"00:14:23,112","00:14:25,655",this isn't because he doesn't know okay
5584,5890,Of course! Only an idiot would wear this stuff if you didnt have the car! Right?,Joey,anger,negative,596,0,6,5,"00:13:35,314","00:13:38,858",the only an idiot when where this stuff of you didn't know that call
5585,5891,That is true.,Chandler,neutral,neutral,596,1,6,5,"00:13:41,862","00:13:44,072",that is true
5586,5892,"Yeah, but only a genius would swallow a sonic blaster gun.",Phoebe,neutral,neutral,596,2,6,5,"00:13:45,032","00:13:48,243",yeah but only a genius will swallow a sonic last gun
